_,idx,dataset,name,n_nodes,frac_total,density,dbar,dcv,dmax,null_10_sim_g,null_10_sim,null_10_sim_e,null_10_comp_g,null_10_comp,null_10_comp_e,data_sim_g,data_sim,data_sim_e,data_comp_g,data_comp,data_comp_e
0,1,,NYC_restaurant_tips,5372,0.8380655226209048,0.0006135927853910018,3.2956068503350706,1.569502889631527,196,0.005529450518683534,0.0015349734107676005,0.0032217949618920548,0.004664534006829592,0.001380649072020593,0.0025502961700750743,0.0,0.0,0.0,0.014416463486429283,0.003092336771937838,0.006514786080813588
0,1,,NYC_restaurant_checkin,4906,0.9939222042139384,0.0011184374289652604,5.485935589074603,1.0448629417717656,88,0.004665818403689718,0.001998411397082236,0.0032767692518504803,0.004656643269102799,0.0020762129397058327,0.0032725954022708864,0.0,0.0,0.0,0.011629985608588383,0.005807660427658311,0.008769240239327562
0,1,,gplus_106228758905254036967,4839,0.9993804213135068,0.022478756001110926,108.75222153337467,1.1537162393375944,1233,0.11048594857909104,0.056878562842482286,0.09098604434518151,0.06513982163980589,0.03686483086783128,0.05726233135825646,0.30126142206939793,0.2132949395037337,0.31085793547582835,0.06098109972012136,0.030822738563986495,0.0497764016554366
0,1,,gplus_112573107772208475213,3794,0.9986838641747828,0.008367660039072614,31.738534528202425,1.7806615682363989,548,0.11089595613303913,0.03806331123974729,0.08573339264573893,0.052094590975992824,0.020929480163560707,0.04416505205834419,0.17469170312169316,0.08349988271650262,0.16953154948969024,0.06047816435642916,0.023330150139768403,0.05076759924769085
0,1,,gplus_115455024457484679647,3464,0.9925501432664756,0.018095118371114233,62.66339491916859,1.8155473217787224,919,0.2113369995232222,0.07915085817821733,0.18214099813440937,0.04931444840973013,0.022842548610240737,0.04771009837048666,0.28483507020424864,0.11272438317890092,0.2592278738354392,0.03976552978680732,0.023916426719981308,0.04502467826587728
0,1,,gplus_106186407539128840569,4289,1.0,0.026793093578505237,114.88878526463046,1.3982202478974963,1165,0.1969685960037397,0.08418169187085275,0.16484629913761895,0.07364609414489567,0.03724453937819018,0.06764753612668445,0.36721157076340893,0.18824103078911436,0.33275046955763904,0.04417938700003506,0.0223212848099142,0.042288550323004485
0,1,,facebook_combined,4039,1.0,0.010819963503439287,43.69101262688784,1.199654400665438,1045,0.05513089766890837,0.027930495226943408,0.044033951039369544,0.03823848456313967,0.02074754814438825,0.03233885831603837,0.5191742775433075,0.3126198153088589,0.5138782042814128,0.019899087333271892,0.014563531307874397,0.02228087690425696
0,1,,gplus_104905626100400792399,4472,0.99776885319054,0.0265780587999227,118.83050089445439,1.2886514189466638,1869,0.15044714768443002,0.07565370880488036,0.12491917974020617,0.06452420870606965,0.03728411815173838,0.058845765505959324,0.26461979910010475,0.17254323522100276,0.26309717495793566,0.054063384428922535,0.03227082986514371,0.050276647915206675
0,1,,gplus_115273860520983542999,4520,1.0,0.02607515563588937,117.83362831858408,1.5045099035686516,1886,0.19056212935506628,0.08619702569119111,0.16216936362167172,0.056255090237273486,0.03053273386275212,0.05323271345822363,0.21261576549510516,0.11147512431099629,0.20329489886023433,0.06974344691683254,0.03716026726970071,0.063613965920352
0,1,,gplus_114147483140782280818,4227,0.999527074958619,0.04859056852982724,205.3437426070499,1.1225947927883353,1796,0.20294733842500476,0.1156207724624126,0.17282063151564842,0.07114783469312334,0.047754359960331304,0.06722312561100667,0.23294522902668696,0.15575540639165383,0.21930334521239844,0.08495368837224185,0.056936433313630484,0.08002082476443961
0,1,,gplus_115573545440464933254,4503,1.0,0.025361640045882834,114.17810348656451,1.2134881672183082,1226,0.13868653459823158,0.06786479693842881,0.11495349736579168,0.07230171436858256,0.03966838056752668,0.06435176243590743,0.2593673881892415,0.15283357674762482,0.24516710804218864,0.06567726351726381,0.03559535474027784,0.05825054308130119
0,1,,gplus_101626577406833098387,4710,0.9995755517826825,0.034071901887292665,160.44458598726115,1.0062852858009717,1224,0.12551866694165142,0.07391491261613034,0.10483702850144734,0.07066961813343818,0.045944579953507904,0.06315011725749187,0.271158286806385,0.18648840339057896,0.2577201897059557,0.06432367998512771,0.04538380755024571,0.06041333798285764
0,1,,gplus_100668989009254813743,4586,1.0,0.029473229653000147,135.13475795900567,1.1542320358400249,1538,0.13565340566019654,0.07373061116791649,0.11184473777942469,0.06628432110176354,0.04079939521587402,0.05957705774308708,0.2541184010195355,0.19471612128827995,0.26443616540920756,0.06013172466557733,0.034335770474363314,0.05169091943365215
0,1,,gplus_111058843129764709244,3508,1.0,0.041280852531782826,144.77194982896236,1.1246816901077916,1117,0.18446651438968248,0.10043337423812046,0.15673416976956495,0.0771393698293354,0.04832321347505325,0.07168831968388747,0.22720788726766572,0.1409090554010755,0.20912425369979207,0.08102209275253291,0.04767211666485312,0.0735586259392388
0,1,,gplus_117734260411963901771,4805,1.0,0.029879020344648625,143.53881373569197,1.1913533009001664,1836,0.14747568021426297,0.07718665627524385,0.12314681300645614,0.06877988389911135,0.040778852501596394,0.06259712138974688,0.2693397070299364,0.17012642638281764,0.2614052777015586,0.05662108207881595,0.035995080527536784,0.05624531262652022
0,1,,gplus_105565257978663183206,3545,1.0,0.04135733093060203,146.5703808180536,1.257982082857928,1371,0.23036500920682051,0.11296857951932679,0.19767829182158875,0.07412050960920027,0.0432893533569817,0.07035126771310601,0.3295892431512104,0.169590753940361,0.2990508818896122,0.05367207847940049,0.0326624802282193,0.052998324522999664
0,1,,gplus_116807883656585676940,4867,0.9989737274220033,0.03209229035289798,156.16108485720156,1.341284497205247,2193,0.18344282361845018,0.09266110971714751,0.15552691984951994,0.060530931696885636,0.03615391981155934,0.057103632049356326,0.22734297443764584,0.15043602026200997,0.2278984298341281,0.06782999131738672,0.03716883061848027,0.061509582694765245
0,1,,gplus_116825083494890429556,4602,0.9995655951346655,0.04070841882813488,187.29943502824858,1.169241674088784,1746,0.1921739091224709,0.1022210834526143,0.1626073358017029,0.07392893154400651,0.04586926121839367,0.06877709912833627,0.26652031881013605,0.15969819630541485,0.24583836533156272,0.06788400889435063,0.043912573109476376,0.06421317431574436
0,1,,M2,3862,1.0,0.011712552365064017,45.22216468151217,0.654056263732236,328,0.023987938102996844,0.017768179616928798,0.02040976853253282,0.02179903637792959,0.016406027686323925,0.018759943474796904,0.2253112013012456,0.21943629452689956,0.23256548353305237,0.020922776234072432,0.017592134959284994,0.01945427042972669
0,1,,L2,5524,1.0,0.0061763964347368114,34.11223750905141,0.9325360185704271,417,0.02137274899168675,0.01249928667424771,0.016666322528800737,0.019031815917653672,0.011448769718999097,0.015139540356161538,0.2223911602344453,0.20734497826311846,0.23646520199634632,0.02378113863150896,0.01718671395276447,0.02137490729851855
0,1,,L1,5793,1.0,0.0018330968124036153,10.61729673744174,1.7319801599338454,320,0.027689803366941927,0.008226213526311522,0.020297348077997837,0.023446218103339266,0.007257153228163833,0.01761408851122334,0.26458216686976854,0.0851240152453503,0.24441063261309134,0.03883586827427484,0.017304522833543,0.03415326747603374
